Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Leadbeater, M; Winiecki, T; Samuels, DC; Barenghi, CF; Adams, CS; ",Sound emission due to superfluid vortex reconnections,Physical Review Letters,86,8,1410,2001,APS
"Adams, CS; Barenghi, CF; Leadbeater, M; Samuels, DC; Winiecki, T; ",Sound Emission due to Superfluid Vortex Reconnections,Physical Review Letters,86,08,,2003,
"Pineau des Forets, G; Flower, DR; ",Chemical evidence for ambipolar diffusion in interstellar shocks: a suggested observational test,Monthly Notices of the Royal Astronomical Society,228,1,1P-4P,1987,"Oxford University Press Oxford, UK"
"Whittaker, KA; Keaveney, J; Hughes, IG; Sargsyan, A; Sarkisyan, D; Adams, CS; ",Spectroscopic detection of atom-surface interactions in an atomic-vapor layer with nanoscale thickness,Physical Review A,92,5,052706,2015,APS
"Marchant, AL; Wiles, TP; Händel, S; Yu, MMH; Hopkins, SA; Cornish, SL; ",Bose-Einstein condensation of 85 Rb: formation of bright matter-wave solitons,,,,,,Citeseer
"Flower, DR; ",The rotational excitation of OCS by He at low temperatures,Monthly Notices of the Royal Astronomical Society,328,1,147-149,2001,"Blackwell Science Ltd Oxford, UK"
"Gröbner, Michael; Weinmann, Philipp; Kirilov, Emil; Nägerl, Hanns-Christoph; Julienne, Paul S; Le Sueur, C Ruth; Hutson, Jeremy M; ",Observation of interspecies Feshbach resonances in an ultracold K 39− Cs 133 mixture and refinement of interaction potentials,Physical Review A,95,2,022715,2017,APS
"Adams, Charles S; ",Hybrid quantum interfaces using Rydberg collective encoding,,,,,,
"Flower, DR; Pineau Des Forets, G; ",Solar emission lines produced in the wake of a shock wave. I-The thermodynamic cycle,Astronomy and Astrophysics,93,,347-352,1981,
"Scholl, Pascal; Williams, Hannah J; Bornet, Guillaume; Wallner, Florian; Barredo, Daniel; Henriet, L; Signoles, Adrien; Hainaut, Clément; Franz, Titus; Geier, S; ",Microwave Engineering of Programmable X X Z Hamiltonians in Arrays of Rydberg Atoms,PRX Quantum,3,2,020303,2022,APS
"Zentile, Mark A; Mathew, Renju S; Whiting, Daniel J; Keaveney, James; Adams, Charles S; Hughes, Ifan G; ",Effect of line broadening on the performance of Faraday filters,arXiv preprint arXiv:1504.03651,,,,2015,
"Xu, Minzhong; Bačić, Zlatko; Hutson, Jeremy M; ","Clusters containing open-shell molecules. II. Equilibrium structures of Ar n OH Van der Waals clusters (X 2 Π, n= 1 to 15)",The Journal of chemical physics,117,10,4777-4786,2002,American Institute of Physics
"Jackson, B; McCann, JF; Adams, CS; ",Mutual Drag in Two-Component Trapped Bose-Einstein Condensates,,,,,1999,
"Schilke, P; Walmsley, CM; Pineau Des Forets, G; Roueff, E; Flower, DR; Guilloteau, S; ","A study of HCN, HNC and their isotopomers in OMC-1. I-Abundances and chemistry","Astronomy and Astrophysics (ISSN 0004-6361), vol. 256, no. 2, p. 595-612.",256,,595-612,1992,
"Baer, T; Hutson, JM; Nesbitt, DJ; Scoles, G; ",Roger E. Miller (obituary),,,,,2006,
"Flower, David R; Heck, L; Pineau des Forets, G; Millar, Tom J; ",The erosion of PAH molecules within shocks in dark clouds,Monthly Notices of the Royal Astronomical Society,242,4,512-516,1990,The Royal Astronomical Society
"Hutson, Jeremy M; Howard, Brian J; ",Anisotropic intermolecular forces. I. Rare gas—hydrogen chloride systems,Molecular Physics,100,1,151-164,2002,Taylor & Francis
"Battaglieri, Marco; Belloni, Alberto; Chou, Aaron; Cushman, Priscilla; Echenard, Bertrand; Essig, Rouven; Estrada, Juan; Feng, Jonathan L; Flaugher, Brenna; Fox, Patrick J; ",US cosmic visions: new ideas in dark matter 2017: community report,arXiv preprint arXiv:1707.04591,,,,2017,
