Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Leadbeater, M; Winiecki, T; Samuels, DC; Barenghi, CF; Adams, CS; ",Sound emission due to superfluid vortex reconnections,Physical Review Letters,86,8,1410,2001,APS
"Adams, CS; Barenghi, CF; Leadbeater, M; Samuels, DC; Winiecki, T; ",Sound Emission due to Superfluid Vortex Reconnections,Physical Review Letters,86,08,,2003,
"Whittaker, KA; Keaveney, J; Hughes, IG; Sargsyan, A; Sarkisyan, D; Adams, CS; ",Spectroscopic detection of atom-surface interactions in an atomic-vapor layer with nanoscale thickness,Physical Review A,92,5,052706,2015,APS
"Adams, Charles S; ",Hybrid quantum interfaces using Rydberg collective encoding,,,,,,
"Zentile, Mark A; Mathew, Renju S; Whiting, Daniel J; Keaveney, James; Adams, Charles S; Hughes, Ifan G; ",Effect of line broadening on the performance of Faraday filters,arXiv preprint arXiv:1504.03651,,,,2015,
"Jackson, B; McCann, JF; Adams, CS; ",Mutual Drag in Two-Component Trapped Bose-Einstein Condensates,,,,,1999,
"Pfau, Tilman; Adams, Charles S; Mlynek, Jürgen; ",Proposal for a magneto-optical beam splitter for atoms,EPL (Europhysics Letters),21,4,439,1993,IOP Publishing
"KASEVICH, MARK; LEE, HEUN JIN; ADAMS, CHARLES; CHU, STEVEN; ","hysics Dept., Stanford University Stanford, CA 94305",Laser Spectroscopy,,,13,1995,Plenum Press
"Adams, Charles; ",Cooperative optical non-linearity using Rydberg atoms,"APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts",55,5,OPQ. 10,2010,
"Sargsyan, Armen; Sarkisyan, David; Krohn, Ulrich; Keaveney, James; Adams, Charles; ",Effect of buffer gas on an electromagnetically induced transparency in a ladder system using thermal rubidium vapor,Physical Review A,82,4,045806,2010,APS
"Lee, Heun‐Jin; Adams, Charles; Davidson, Nir; Young, Brent; Weitz, Martin; Kasevich, Mark; Chu, Steven; ","Dipole trapping, cooling in traps, and long coherence times",AIP Conference Proceedings,323,1,258-275,1994,American Institute of Physics
"Lynch, Stephen A; Hodges, Chris; Mandal, Soumen; Langbein, Wolfgang; Singh, Ravi P; Gallagher, Liam AP; Pritchett, Jon D; Pizzey, Danielle; Rogers, Joshua P; Adams, Charles S; ",Rydberg excitons in synthetic cuprous oxide Cu 2 O,Physical Review Materials,5,8,084602,2021,APS
"Griffin, PF; Weatherill, KJ; MacLeod, SG; Potvliege, RM; Adams, CS; ",Spatially selective loading of an optical lattice by light-shift engineering using an auxiliary laser field,New Journal of Physics,8,1,11,2006,IOP Publishing
"de Melo, Natalia R; Wade, Christopher G; Šibalić, Nikola; Kondo, Jorge M; Adams, Charles S; Weatherill, Kevin J; ",Intrinsic Optical Bistability in a Rydberg Ensemble,Frontiers in Optics,,,FW6B. 4,2017,Optical Society of America
"Griffin, PF; Weatherill, KJ; MacLeod, SG; Potvliege, RM; Adams, CS; ","Enhanced, Site-Specific Loading of Optical Lattices Using Light-Shift Engineering of an Atomic Excited State",EUROPHYSICS CONFERENCE ABSTRACTS ECA,29,I,p61,2005,EUROPEAN PHYSICAL SOCIETY
"Maxwell, Daniel Thomas; Weatherill, Kevin John; Szwer, David James; Jones, Matthew Philip Austin; Pritchard, Jonathan David; Barato, David Paredes; Gauguet, Alexandre; Busche, Hannes; Adams, Charles Stuart; ",Coherent control of strongly interacting Rydberg polaritons,,,,,2012,
"Carr, Christopher; Weatherill, Kevin J; Adams, Charles S; Ritter, Ralf; ",Cooperative non-equilibrium phase transition in a dilute thermal atomic gas,Phys. Rev. Lett.,111,arXiv: 1302.6621,113901,2013,
